"Row.names","log2FoldChange"
"Mfsd13b",0.897654674138565
"2900041M22Rik",0.897522343508604
"Rpl35a-ps3",0.896854430204766
"Enpp5",0.894966058030121
"Ninj1",0.894894750335139
"Rpl3-ps2",0.894526109784662
"Prss8",0.894518197751769
"Trpm1",0.893462094294094
"Slc12a8",0.892231029113703
"4930509E16Rik",0.892118759709708
"Gnmt",0.890866321548599
"C1qtnf12",0.889301386181545
"Krtcap3",0.889168219321508
"Ifngr2",0.888345027107141
"Pax5",0.888107553082148
"Barx2",0.885864481617791
"Rassf6",0.885691035561341
"Arhgap33",0.885484615205128
"Pdia2",0.8853167601334
"2610203C22Rik",0.884904127996656
"Gm20474",0.884773671302053
"Gm44408",0.883827885562107
"Tspo",0.883213868946242
"Gm7367",0.88247484195779
"Fmnl1",0.880049999450809
"Rgs16",0.879770165745762
"Padi3",0.878410086528472
"C1ql1",0.878135609293818
"Emx1",0.877677184280479
"Gm5514",0.877327486755268
"6330537M06Rik",0.877050045729942
"AL671885.1",0.876875709131835
"5330413P13Rik",0.875926395695244
"Loxhd1",0.875926395695244
"Gm9294",0.875744274255465
"Maff",0.875646842590331
"Irs3",0.874922266639162
"Atp8b3",0.873408528762774
"Tmc8",0.873322058746985
"Gm14388",0.872949981116798
"Micall2",0.872483978480701
"Bhlhe41",0.872471843839611
"Pabpc1l",0.871007850245777
"Dlg4",0.87064147275543
"Gm7908",0.87043560674104
"Gm10231",0.868879367047237
"Gm39325",0.868149757954403
"Gm3880",0.867745839397175
"Gm19587",0.867385178723391
"Hk1os",0.866562103075876
"Gm12542",0.865842984090588
"Dtx1",0.864769378502822
"Mcf2",0.864595870875329
"Foxd1",0.864546292317838
"Fbxl13",0.864515938872278
"Srp54b",0.863920865126982
"Klk7",0.863355732398998
"Hdac11",0.862586287516927
"Gm23474",0.862488970031311
"Gpr3",0.86240356232773
"Inha",0.862252233400975
"Haao",0.861898437543699
"Gm29718",0.861644134324886
"Lypd3",0.860434350363536
"Rps2-ps5",0.858705389185358
"Fam71e1",0.858634444655792
"Coq10a",0.858219899621757
"Bpi",0.856826320428154
"2810414N06Rik",0.856698387204024
"Gm11346",0.855928406041718
"Igfbp2",0.85566639724116
"Gm12522",0.855608181250036
"Ybx2",0.855585414168069
"Gm11814",0.855244105869643
"Kcnc1",0.854165917131135
"Gm20703",0.853632368199675
"Tdh",0.853337471169789
"Igsf8",0.852823908862662
"Myh13",0.851242989775912
"Gm12070",0.850550702912074
"Ak8",0.850356870004532
"Nhs",0.850276506557675
"Hes5",0.849353440320541
"Aldh2",0.84896031681781
"S1pr4",0.846611070943978
"Sv2c",0.846352638390703
"Pycard",0.846080254620996
"Stambpl1",0.846056643559938
"9530051G07Rik",0.845601357665072
"Cfap45",0.84501243105888
"Chrnd",0.844054738847193
"Cfap53",0.843724428525623
"Abca1",0.843684110865911
"Tmem202",0.843559094015468
"Insyn2b",0.843443612541947
"F630040K05Rik",0.843308902714981
"Rnase4",0.843225845486358
"Pdk2",0.841961814822765
"Gm15915",0.841567132256143
"Tmem176a",0.840983997766181
"Gm6169",0.840767738401965
"Slc19a3",0.838293916979719
"Iqsec3",0.838134278219591
"Sv2a",0.837968393534845
"Mmd2",0.837158019688234
"Gm16192",0.836721061697635
"Hrk",0.83653922336514
"Gm15756",0.835861363411445
"Pdk4",0.835714927390525
"Vwa7",0.835214604035331
"Fbln1",0.834898213836566
"Gm17232",0.834660528276184
"Ppargc1b",0.834436024123819
"45541",0.834313238543159
"Pigyl",0.833881335434647
